cap,via
20138,Camaldoli (Via)
20157,Camasio Sandro (Via)
20131,Cambiasi Pompeo (Via)
20132,Cambini Leonardo (Via)
20147,Camelie (Via delle)
20131,Camerini Eugenio (Via)
20161,Camerino (Via)
20123,Caminadella (Via)
20121,Camoens Luigi (Viale)
20152,Camozzi Gabriele (Via)
20128,Campana Dino (Via)
20157,Campanella Tommaso (Via)
20133,Campania (Viale)
20124,Campanini Alfredo (Via)
20142,Campari Davide (Via)
20141,Campazzino (Via)
20123,Camperio Manfredo (Via)
20135,Campi Fratelli (Via)
20133,Campiglio Ambrogio (Via)
20154,Campobasso (Via)
20155,Campo dei Fiori (Via)
20122,Campo Lodigiano (Via)
20141,Camporgnago (Via)
20145,Camus Alberto (Largo)
20133,Canaletto (Via)
20152,Cancano (Via)
20158,Candiani Giuseppe (Via)
20161,Candoglia (Via)
20147,Canella Giuseppe (Via)
20134,Canelli (Via)
20154,Caneva Carlo (Piazza)
20152,Canevari Pietro (Via)
20159,Cannero (Via)
20132,Canneto (Via)
20153,Cannizzaro Stanislao (Via)
20154,Canonica Luigi (Via)
20145,Canova Antonio (Via)
20152,Cantello (Via)
20158,Cantoni Costanzo Eugenio (Via) 
20156,Cantoni Ermenegildo (Via)
20144,Cantoni Giovanni (Via)
20123,Cantore Antonio (Piazzale)
20123,Cantu' Cesare (Via)
20134,Canzi (Via dei)
20131,Canzio Stefano (Via)
20148,Capecelatro Alfonso (Via)
20126,Capelli Guido (Via)
20147,Capinera (Via della)
20151,Capodistria (Via)
20133,Capolago (Via)
20142,Capo Palinuro (Via)
20151,Capo Rizzuto (Via)
20137,Caposile (Via)
20123,Cappellari (Via)
20135,Cappelli Michele (Piazza)
20124,Cappellini Alfredo (Via)
20145,Capponi Pier Luigi (Via)
20122,Cappuccini (Via)
20123,Cappuccio (Via)
20131,Capranica Luigi (Via)
20123,Caprara Cardinal (Via)
20123,Caprara Cardinal Giovanni Battista (Via)
20144,Caprera (Via)
20153,Capri (Via)
20148,Caprilli Federico (Viale)
20125,Caproni Gianni (Via)
20161,Capsoni Siro (Via)
